"","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"339",2,2.7,1,1,4,2.5,0.409090909090909,0.294117647058824,0.125,2.83333333333333,4,1.46153846153846,0.75,1,0.666666666666667,1,0
"340",2,2.3,1,2,3,2.25,0.130434782608696,0.222222222222222,0,1.66666666666667,2,0.481481481481481,0.375,0,0.625,1,1
"341",1,12.5,1,1,3,2,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"342",2,2.7,1,1,3,2.875,0.962962962962963,1.16666666666667,1.375,2.5,3,1,NA,NA,NA,NA,NA
"343",1,4.9,1,1,2,2.71428571428571,0,1.92857142857143,1,2.66666666666667,2.4,1.25,NA,NA,NA,NA,NA
"344",1,5.1,1,2,3,2.75,0.259259259259259,0.388888888888889,0,1.66666666666667,1.33333333333333,0.807692307692308,0.5,0,0.625,1,1
"345",1,6.8,1,2,2,2.71428571428571,0.0454545454545455,0.75,0,0.666666666666667,1.6,0.185185185185185,0.5,0,0.5,0,0
"346",1,1.2,2,1,3,2.375,0.407407407407407,0.166666666666667,0.25,1.33333333333333,1.16666666666667,0.62962962962963,NA,NA,0.333333333333333,0,NA
"347",1,8.6,1,1,2,2.375,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0,0
"348",1,5,1,2,2,2.25,0.222222222222222,1.05555555555556,0.25,1.33333333333333,2.33333333333333,0.62962962962963,NA,NA,NA,NA,NA
"349",1,0.3,2,2,3,1.75,NA,NA,NA,NA,NA,NA,0.625,1,0.5,0,0
"350",2,7.2,1,1,4,2.5,0.714285714285714,1.33333333333333,3,3.5,2,1.51851851851852,0.5,0,0.5,0,0
"351",2,3.9,1,2,4,1.875,0.833333333333333,0.866666666666667,0.25,1.83333333333333,2.16666666666667,1.11538461538462,NA,NA,NA,NA,NA
"352",1,6.1,1,2,3,3.125,0.590909090909091,1.22222222222222,0.375,1.5,2.33333333333333,0.777777777777778,0.5,0,0.5,0,0
"353",2,7,1,1,3,2.25,0.545454545454545,0.555555555555556,0.25,1.83333333333333,1.83333333333333,0.703703703703704,0.75,1,0.625,1,0
