"","X.1","X","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"295",295,295,1,0.35764159963825,2,2,3,0.471013046993512,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.521274190562416,0,0.504054415609776,0,0
"296",296,296,1,1.01675072567314,1,2,2,0.132044279473106,0.82580268178707,2.18133732451683,-0.797303570307237,-1.02682622967811,1.49802526909176,1.52311934707895,0.5,0,0.5,0,0
"297",297,297,2,1.34630528869059,1,1,3,-1.56279955812892,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.75,1,0.375,0,0
"298",298,298,1,-1.05944302133676,2,1,4,0.325740718056191,1.0315581628925,2.16472051463285,0.172029789074535,-0.518948976894391,0.486845547378142,1.28379550125722,0.521274190562416,0,0.504054415609776,0,0
"299",299,299,2,-0.433289351603618,1,2,4,0.132044279473106,2.65114773559382,-0.0951656295904701,-0.0703035507709081,1.51256003424044,-1.28271896562067,1.13901934761197,0.25,0,0.25,0,0
"300",300,300,1,-0.993532108733275,1,1,3,2.65009798105326,-1.20235848910932,-1.41669074507054,-0.797303570307237,-1.53470348246181,-1.78830882647748,-1.4421326488062,0.5,0,0.5,0,0
"301",301,301,1,0.258775230733017,1,2,4,-0.545893255567704,1.39134762367164,1.96140895840514,-0.797303570307237,-0.265010350502546,-2.04110375690589,-0.366652650298633,0.5,0,0.5,0,0
"302",302,302,1,2.4667908029499,1,1,3,-0.88486202308811,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.5,0,0.75,1,1
"303",303,303,2,0.126953405526038,1,1,4,-2.57970586069014,-0.720670211021427,1.10124468205716,4.04936322660162,-0.0110717241106864,1.75082019952017,0.948742117106768,0.521274190562416,0,0.504054415609776,0,0
"304",304,304,2,0.0280870366208049,1,2,5,1.14895058203432,-0.896524661751928,-0.572165819201618,-0.554970230461794,-1.53470348246181,-1.28271896562067,-0.478876650142901,0.5,0,1,1,1
"305",305,305,2,-0.466244807905363,1,2,3,-0.545893255567704,-0.326561619858605,-0.149903356267159,-0.797303570307237,-0.518948976894391,-0.0187443134786599,-0.151556650597121,0.625,1,0.555555555555556,1,0
"306",306,306,2,-0.795799370922808,1,2,4,1.14895058203432,1.70306287078591,0.2723591066673,0.656696468765421,0.496805528673018,-0.524334174335461,3.61262334417936,0.5,0,0.5,0,0
"307",307,307,2,0.588329793750462,1,1,4,1.48791934955473,0.403269104516989,-0.431411664890131,-0.797303570307237,-0.772887603286251,-0.322098229992744,0.166950887422428,1,1,0.875,1,0
"308",308,308,2,1.2803943760871,1,2,3,0.132044279473106,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.5,0,0.5,0,0
"309",309,309,1,-0.894665739828041,1,2,3,0.809981814513917,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,1,1,0.625,1,0
"310",310,310,2,-0.400333895301874,1,2,3,0.471013046993512,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.521274190562416,0,0.504054415609776,0,0
"311",311,311,2,-0.66397754571583,1,1,3,0.713133595222361,-0.726616979886711,-0.493969066806349,-0.797303570307237,0.496805528673018,2.40808701863401,1.46166334716423,0.5,0,0.625,1,1
"312",312,312,1,2.03836987102722,1,2,2,-0.545893255567704,-0.214279969954668,-0.149903356267159,-0.312636890616351,3.38314211834307e-15,2.69432402179323e-15,9.6715835206221e-16,0.625,1,0.571428571428571,1,0
"313",313,313,1,2.13723623993245,1,1,4,0.132044279473106,0.224866038558508,-0.228100108662428,1.38369648830175,-0.518948976894391,-0.271539243907068,0.708827348208935,1,1,0.5,0,0
"314",314,314,1,1.54403802650105,1,2,4,0.471013046993512,-0.0130047160527963,2.16472051463285,1.14136314845631,-0.0110717241106864,2.00361512994856,0.386183348656669,0.521274190562416,0,0.504054415609776,0,0
"315",315,315,2,1.77472622061326,1,2,3,0.471013046993512,1.53315518892069,1.36711364020108,-0.0703035507709081,-0.265010350502546,-1.02992403519228,1.54115534705391,0.5,0,1,1,1
